Wavelength (nm),Amplitude (AU)
1510.7259999999828,1294.759177657089
1510.7269999999828,1294.8187219716817
1510.7279999999828,1294.8765719927542
1510.7289999999828,1294.932761456364
1510.7299999999827,1294.98732409857
1510.7309999999827,1295.0402936554308
1510.7319999999827,1295.0917038630046
1510.7329999999827,1295.1415884573498
1510.7339999999826,1295.1899811745247
1510.7349999999826,1295.2369157505882
1510.7359999999826,1295.2824259215981
1510.7369999999826,1295.3265454236134
1510.7379999999825,1295.369307992692
1510.7389999999825,1295.410747364893
1510.7399999999825,1295.4508972762744
1510.7409999999825,1295.4897914628946
1510.7419999999825,1295.5274636608121
1510.7429999999824,1295.5639476060853
1510.7439999999824,1295.5992770347725
1510.7449999999824,1295.6334856829326
1510.7459999999824,1295.6666072866233
1510.7469999999823,1295.698675581904
1510.7479999999823,1295.729724304832
1510.7489999999823,1295.7597871914668
1510.7499999999823,1295.788897977866
1510.7509999999822,1295.8170904000883
1510.7519999999822,1295.8443981941928
1510.7529999999822,1295.8708550962367
1510.7539999999822,1295.8964948422793
1510.7549999999821,1295.9213511683786
1510.7559999999821,1295.9454578105933
1510.756999999982,1295.9688485049817
1510.757999999982,1295.9915569876023
1510.758999999982,1296.0136169945135
1510.759999999982,1296.0350622617736
1510.760999999982,1296.0559265254412
1510.761999999982,1296.0762435215747
1510.762999999982,1296.0960469862325
1510.763999999982,1296.1153706554733
1510.764999999982,1296.134248265355
1510.765999999982,1296.1527135519361
1510.7669999999819,1296.1708002512753
1510.7679999999818,1296.1885420994313
1510.7689999999818,1296.2059728324618
1510.7699999999818,1296.2231261864258
1510.7709999999818,1296.2400358973814
1510.7719999999817,1296.256735701387
1510.7729999999817,1296.2732593345015
1510.7739999999817,1296.289640532783
1510.7749999999817,1296.3059130322897
1510.7759999999817,1296.3221105690805
1510.7769999999816,1296.3382668792135
1510.7779999999816,1296.3544156987473
1510.7789999999816,1296.3705907637402
1510.7799999999816,1296.3868258102511
1510.7809999999815,1296.4031545743373
1510.7819999999815,1296.4196107920586
1510.7829999999815,1296.4362281994722
1510.7839999999815,1296.4530405326375
1510.7849999999814,1296.4700815276124
1510.7859999999814,1296.4873849204555
1510.7869999999814,1296.504984447225
1510.7879999999814,1296.5229138439797
1510.7889999999813,1296.5412068467779
1510.7899999999813,1296.5598971916777
1510.7909999999813,1296.579018614738
1510.7919999999813,1296.5986048520172
1510.7929999999812,1296.6186896395732
1510.7939999999812,1296.639306713465
1510.7949999999812,1296.6604898097507
1510.7959999999812,1296.682272664489
1510.7969999999812,1296.704689013738
1510.7979999999811,1296.7277725935564
1510.798999999981,1296.7515571400024
